pub_date	title	venue	excerpt	citation	url_slug	paper_url
2014/6/21	Toward Automatic Extraction of Characteristic Features of English Composition by Japanese College Students : Preliminary Experiments and Issues to be Addressed	電子情報通信学会技術研究報告 = IEICE technical report : 信学技報	"We are accumulating electronic files of English composition by university freshmen. For the past ten years or so, about 50 to 90 students enrolled in three English classes taught by the last author are submitting 15 essays per year, each in three different versions. The first is what the students come up with in half hour or so in class after engaging what we call ""oral response practice,"" in which a group of three students in turn read a question card aloud, respond to the question and video record the interaction. Sets of 10 question cards around one topic are prepared by the teacher and distributed to the groups with a video camera. After class, students will spend some time to ""complete"" their compositions and submit them during the next class and review other students' essays within groups of six. The students are asked to revise the essays and submit the final version during the following class. In addition to the students' peer review comments, it would be desirable if the students can get feedback by statistical analysis of parsing and other processing of their own essays but the files submitted has to go through some pre-processing for the parser and analyzers to work properly. In this presentation, we report on your preliminary study and experimentation."	"山田寛章, 石井雄隆,  原田康也. 日本人大学生の英語作文からの特徴量の自動抽出に向けて : 予備実験と今後の課題 (思考と言語). <i>電子情報通信学会技術研究報告 = IEICE technical report : 信学技報, 114(100)</i>. pages 55-60, Jun 2014. ISSN 0913-5685."	TL2014	https://ci.nii.ac.jp/naid/110009925596
2018/3/14	判決書自動要約のための修辞役割分類	言語処理学会第24回年次大会発表論文集	我々は，日本国の判決書に対する情報アクセスの容易化・効率化を目指し，検索の手掛かりとなる判決の要約を機械的に生成することを目指している．判決書に内包される共通の議論構造を適切に利用できれば，極めて高い品質の自動要約を実現することが可能となる．本研究の目的はそのための議論構造抽出である。本稿では、独自に作成した議論構造注釈付き判決書コーパスを利用し、形態素bigram等に加えて、モダリティ表現、機能表現、法律の名称、手掛かり句等の素性を導入し、SVMを用いた機械学習によって議論構造の基本となる修辞役割の自動分類を行い、基本的な素性のみでも判決書中の議論的テキストの弁別が可能であるという知見を得た。	"山田寛章, Simone Teufel, 徳永健伸. 判決書自動要約のための修辞役割分類. <i>言語処理学会第24回年次大会発表論文集</i>, pp. 785-788, 2018年3月."	anlp2018	http://anlp.jp/proceedings/annual_meeting/2018/pdf_dir/P7-8.pdf
2019/3/18	Autonomous Mutual Learning through Interaction -- Difficulties in Automatization of Language Processing for Japanese EFL Learners	電子情報通信学会技術研究報告 = IEICE technical report : 信学技報	"The goal of foreign language educations and / or learning is attainment of proficiency in the target language, and learners should not only acquire knowledge of vocabulary, expressions and grammar but also achieve automatization of mental processing of that language. To what extent are the English language education and learning in Japan achieving these goals?"	"原田康也, 森下美和, 鈴木正紀, 横森大輔, 遠藤智子, 前坊香菜子, 鍋井理沙, 桒原奈な子, 山田寛章, 河村まゆみ. 自律的相互学習の記録と分析からインタラクションの楽しさへ ～ 外国語としての英語自動処理の難しさを超えて ～ (思考と言語). <i>電子情報通信学会技術研究報告 = IEICE technical report : 信学技報, 118(516)</i>. pages 17-22, Mar 2019. ISSN 2432-6380."	TL2019	
2020/3/17	見出し情報を考慮した階層型RNNによる日本語判決書のための修辞役割分類	言語処理学会第26回年次大会発表論文集	"本稿では，日本国の判決書に対する修辞役割分類の自動化及びその性能改善について議論する．これまでの日本の判決書における修辞役割分類の研究では，Conditional Random Field (CRF) を用いた分類器を構築しF=0.63(マクロ平均値) の性能を達成していたものの，BACKGROUND(F=0.32) 及びCONCLUSION(F=0.39) の重要な役割について相対的に分類性能が低くなっており，改善の余地があった．本稿では，文間文脈を考慮可能な階層型 RNN をベースとするモデルを用いることで，日本国判決書における修辞役割分類の性能が従来の CRF による分類器に比べて向上することを示す．また，判決書中に出現する見出し情報を扱う専用のネットワークを階層型RNNに追加することで修辞役割類の性能が向上することを示す．"	"山田寛章, Simone Teufel, 徳永健伸. 見出し情報を考慮した階層型RNNによる日本語判決書のための修辞役割分類. <i>言語処理学会第26回年次大会発表論文集</i>, pp. 37-40, 2020年3月."	anlp2020	https://www.anlp.jp/proceedings/annual_meeting/2020/pdf_dir/P1-10.pdf
2022/3/17	日本語法律分野文書に特化したBERTの構築	言語処理学会第28回年次大会発表論文集	"本論文では日本語の法律分野に特化したBERTモデルを提案する．民事事件判決書コーパスを用い，BERT を一から事前学習するモデルと，既存の汎用日本語BERT に追加事前学習するモデルを作成した．実験より，民事事件判決書を用いたMaskedLanguage Model，Next Sentence Prediction タスクについては既存の汎用日本語BERT に追加事前学習する手法が最も良い正解率を示すことがわかった．"	"宮崎桂輔, 菅原祐太, 山田寛章, 徳永健伸. 日本語法律分野文書に特化したBERT の構築. <i>言語処理学会第28回年次大会発表論文集</i>, pp. 1546-1551, 2022年3月."	anlp2022-1	https://www.anlp.jp/proceedings/annual_meeting/2022/pdf_dir/PT3-7.pdf
2022/3/16	日本語法律BERT を用いた判決書からの重要箇所抽出	言語処理学会第28回年次大会発表論文集	"本研究では判決書からの重要箇所抽出タスクにおいて，法律分野の文書のみで事前学習を行ったBERT，日本語Wikipediaで事前学習されたBERTから追加の事前学習を行なったBERTを用い，その性能を汎用日本語BERTと比較検証した．実験より，法律分野に特化したBERTモデルを用いることで，汎用日本語BERTを超える性能があることを確認した．"	"菅原祐太, 宮崎桂輔, 山田寛章, 徳永健伸. 日本語法律BERTを用いた判決書からの重要箇所抽出. <i>言語処理学会第28回年次大会発表論文集</i>, pp. 838-841, 2022年3月."	anlp2022-2	https://www.anlp.jp/proceedings/annual_meeting/2022/pdf_dir/PT1-10.pdf
2022/5/31	法と人工知能の接点――判決予測システムの研究動向――	情報法制研究	"Legal judgment prediction (LJP) is the task of predicting the outcome of a court case based on input facts. Predicting legal judgment makes it possible to help not only legal professionals, but also the general public who are not legal specialists. An LJP system allows everyone to predict and foresee the outcome of litigation when involved in legal disputes. This article provides a simple introduction to artificial intelligence and natural language processing research in the field of LJP, reviews the recent advances in legal judgment prediction and related topics, and discusses the challenges and possible directions to develop a smarter and more trustful LJP system."	"山田寛章. 法と人工知能の接点. <i>情報法制研究</i>, 11 巻 p. 27-33, 2022年5月."	alis-1	https://www.jstage.jst.go.jp/article/alis/11/0/11_27/_article/-char/ja
2023/3/4	近傍事例を用いた対話における感情認識	言語処理学会第29回年次大会発表論文集	"ソーシャルメディアでの感情分析や感情的かつ共感的な対話システムの構築を目的として対話における各発話の感情認識(EmotionRecognition in Conversations: ERC) が注目を集めている．ERCでは，発話の内容だけでなく，発話間の関係が話者の感情に大きな影響を与えることが知られている．従来手法の多くは，発話間の関係を抽出し，高い認識性能を達成した．このような手法は，単体で高い認識性能を示すことが多いが，性質の異なるモデルを組み合わせることでさらなる性能向上が期待できる．本研究は，単体で高い性能を発揮するモデルが出力する感情ラベルの確率分布と，性質の異なる別のモデルを用いて検索した近傍事例から作成した確率分布とを組み合わせる手法を提案する．評価実験において，提案手法はERCにおける3つのベンチマークデータセットのうち，2つのデータセットでベースモデル単体の認識率を上回る性能を達成した．また並べ替え検定において，提案手法はベースモデル単体に対して統計的に有意な結果を示した．"	"石渡太智, 美野秀弥, 後藤淳, 山田寛章, 徳永健伸. 近傍事例を用いた対話における感情認識. <i>言語処理学会第29回年次大会発表論文集</i>, pp. 567-571, 2023年3月."	anlp2023-1	https://www.anlp.jp/proceedings/annual_meeting/2023/pdf_dir/A3-1.pdf
2023/3/4	敵対的学習を用いた知識蒸留への中間層蒸留と対照学習の導入	言語処理学会第29回年次大会発表論文集	"知識蒸留(KD)とは，大規模なニューラルネットワークを圧縮する手法の一つである．言語モデル向けKDの中で最高性能の手法は，敵対的学習に中間層出力と対照学習を導入したCILDAと呼ばれる手法である．CILDAの学習は最大化ステップと最小化ステップに分かれているが，中間層出力と対照学習は最大化ステップでのみ活用されている．本研究では，最小化ステップに中間層蒸留と対照学習を導入し，性能を向上させることを目指した．しかし，既存手法に対して有意な差は確認できなかったため，原因分析のためにCILDA単体の再現実験を行ったところ，先行研究の主張とは異なり，GLUEにおける複数のタスクでCILDAがそれ以前の手法の性能を上回らないという結果を得た．"	"鈴木偉士, 山田寛章, 徳永健伸. 敵対的学習を用いた知識蒸留への中間層蒸留と対照学習の導入. <i>言語処理学会第29回年次大会発表論文集</i>, pp. 783-788, 2023年3月."	anlp2023-2	https://www.anlp.jp/proceedings/annual_meeting/2023/pdf_dir/Q3-2.pdf
2023/3/4	参照例を使わないキャッチコピーの自動評価	言語処理学会第29回年次大会発表論文集	"広告文の一種であるキャッチコピーの人手によるオフライン評価は高コストである．キャッチコピーの自動生成研究の迅速化・効率化のためには自動評価器が必要となる．自動評価器の構築のために必要なデータセットが現存しないため，日本語としては初となる23,641 件のキャッチコピーとその評価値から成るデータセットを構築した．このデータセットを利用してBERTと対照学習を用いた参照例を必要としない評価機を構築し，評価実験を行った結果，テストデータの評価値に対する相関係数が平均で0.28 を超えた．対照学習を用いない学習との比較も行い，対照学習の有用性を確認した．"	"新保彰人, 山田寛章, 徳永健伸. 参照例を使わないキャッチコピーの自動評価. <i>言語処理学会第29回年次大会発表論文集</i>, pp. 1557-1562, 2023年3月."	anlp2023-3	https://www.anlp.jp/proceedings/annual_meeting/2023/pdf_dir/A7-2.pdf
2023/3/4	低資源な法ドメイン含意タスクにおけるデータ拡張 	言語処理学会第29回年次大会発表論文集	"法ドメインではアノテーションが高コストのため学習データが不足する問題がある．本稿では，COLIEETASK4を用いて，ラベル付き学習データのルールベースによる拡張と，言語モデル事前学習の際の擬似的な学習データ拡張の効果検証を行う．実験の結果，提案手法である反対解釈によるデータ拡張手法が最良の性能を示した．"	"伊藤光一, 山田寛章, 徳永健伸. 低資源な法ドメイン含意タスクにおけるデータ拡張. <i>言語処理学会第29回年次大会発表論文集</i>, pp. 990-885, 2023年3月."	anlp2023-4	https://www.anlp.jp/proceedings/annual_meeting/2023/pdf_dir/P4-2.pdf
2023/12/1	Japanese Tort-case Dataset for Rationale-supported Legal Judgment Prediction 	ArXiv Preprint	"This paper presents the first dataset for Japanese Legal Judgment Prediction (LJP), the Japanese Tort-case Dataset (JTD), which features two tasks: tort prediction and its rationale extraction. The rationale extraction task identifies the court's accepting arguments from alleged arguments by plaintiffs and defendants, which is a novel task in the field. JTD is constructed based on annotated 3,477 Japanese Civil Code judgments by 41 legal experts, resulting in 7,978 instances with 59,697 of their alleged arguments from the involved parties. Our baseline experiments show the feasibility of the proposed two tasks, and our error analysis by legal experts identifies sources of errors and suggests future directions of the LJP research."	"Hiroaki Yamada, Takenobu Tokunaga, Ryutaro Ohara, Akira Tokutsu, Keisuke Takeshita, Mihoko Sumida. Japanese Tort-case Dataset for Rationale-supported Legal Judgment Prediction. <i>ArXiv Preprint</i>, 2023/12/1."	arxiv2023-1	https://arxiv.org/abs/2312.00480
2023/12/12	MONETECH at the NTCIR-17 FinArg-1 Task: Layer Freezing, Data Augmentation, and Data Filtering for Argument Unit Identification 	The 17th NTCIR Conference Evaluation of Information Access Technologies	"This paper reports MONETECH's participation in FinArg-1's Argument Unit Identification in Earnings Conference Call subtask. Our experiments are based on the BERT and FinBERT models with additional experimentation on Large Language Model-based data augmentation, data filtering, and the model's layer freezing. Our best-performing submission, which is based on data filtering and the model's layer freezing, scores 75.54\% in micro F1 evaluation. Results from additional runs also show that the model's layer freezing and data filtering could further improve model performance beyond our best submission."	"Supawich Jiarakul, Hiroaki Yamada and Takenobu Tokunaga. MONETECH at the NTCIR-17 FinArg-1 Task: Layer Freezing, Data Augmentation, and Data Filtering for Argument Unit Identification. <i>The 17th NTCIR Conference Evaluation of Information Access Technologies</i>, 2023/12/12."	ntcir17-1	https://doi.org/10.20736/0002001314
2024/3/4	事前学習済みモデルを用いた日本語直喩表現の解釈 	言語処理学会第30回年次大会発表論文集	"直喩表現（例：ひまわりのような笑顔）に対して，人のような自然な解釈（例：明るい笑顔）の候補を生成するモデルを作成することは，自然言語処理の分野において注目を集めている課題のひとつである．本研究では，事前学習済みマスク言語モデルBERTを用いて直喩表現に対する解釈を生成する．また，形容詞の補完に適したマスク言語モデル(Masked Language Model，MLM) の拡張手法と形容詞-名詞の修飾関係に着目した学習フレームワークを提案する．提案手法の適用によって，直喩解釈のスコアを表すRecall@5は0.296を示し，他比較対象を上回った．"	"鈴木颯仁, 山田寛章, 徳永健伸. 事前学習済みモデルを用いた日本語直喩表現の解釈. <i>言語処理学会第30回年次大会発表論文集</i>, pp. 3137-3142, 2024年3月."	anlp2024-1	https://www.anlp.jp/proceedings/annual_meeting/2024/pdf_dir/D11-6.pdf
2024/3/4	対義関係バイアス: 事前訓練済み言語モデルと人間の意味関係間の弁別能力に関する分析	言語処理学会第30回年次大会発表論文集	"意味関係の弁別は，人間にとっても，機械にとっても，容易なタスクではない．本研究では，多様な下流タスクで卓越した性能を示した事前訓練済み言語モデルが意味関係の弁別ができているか否かという問いに，混淆度という尺度を提案し，人間との比較の上でアプローチした．結果として，事前訓練済み言語モデルは，意味関係の弁別能力は，人間に比べて下回ることと同時に，非対義関係を対義関係として誤認識するバイアスが観察された．"	"Cao Zhihan, 山田寛章, 徳永健伸. 対義関係バイアス: 事前訓練済み言語モデルと人間の意味関係間の弁別能力に関する分析. <i>言語処理学会第30回年次大会発表論文集</i>, pp. 2194-2198, 2024年3月."	anlp2024-2	https://www.anlp.jp/proceedings/annual_meeting/2024/pdf_dir/D8-3.pdf
2024/3/4	GPTs and Language Barrier: A Cross-Lingual Legal QA Examination	言語処理学会第30回年次大会発表論文集	"In this paper, we explore the application of Generative Pre-trained Transformers (GPTs) in cross-lingual legal Question-Answering (QA) systems using the COLIEE Task 4 dataset. In the COLIEE Task 4, given a statement and a set of related legal articles that serve as context, the objective is to determine whether the statement is legally valid, i.e., if it can be inferred from the provided contextual articles or not, which is also known as an entailment task. By benchmarking four different combinations of English and Japanese prompts and data, we provide valuable insights into GPTs’ performance in multilingual legal QA scenarios, contributing to the development of more efficient and accurate cross-lingual QA solutions in the legal domain."	"Nguyen Ha Thanh, 山田寛章, 佐藤健. GPTs and Language Barrier: A Cross-Lingual Legal QA Examination. <i>言語処理学会第30回年次大会発表論文集</i>, pp. 1062-1066, 2024年3月."	anlp2024-3	https://www.anlp.jp/proceedings/annual_meeting/2024/pdf_dir/E4-5.pdf
2024/3/4	大規模言語モデルを用いた日本語判決書の自動要約	言語処理学会第30回年次大会発表論文集	"日本語判決書の自動要約の需要の高まりに伴って，大規模言語モデル（LLM）によって高品質な判決書の要約文を出力することが期待されている．本研究ではOne-shot文脈内学習に用いるサンプルを近傍事例検索を用いて選ぶ手法を提案する．ベースライン手法と比較し，提案手法を用いることによって判決書要約の精度が高まることを示す．"	"新保彰人, 菅原祐太, 山田寛章, 徳永健伸. 大規模言語モデルを用いた日本語判決書の自動要約. <i>言語処理学会第30回年次大会発表論文集</i>, pp. 1056-1061, 2024年3月."	anlp2024-4	https://www.anlp.jp/proceedings/annual_meeting/2024/pdf_dir/E4-4.pdf
2024/3/4	日本語不法行為事件データセットの構築	言語処理学会第30回年次大会発表論文集	"本研究は日本語・日本法における法的判断予測研究のためのデータセットである，日本語不法行為事件データセット(JapaneseTort-case Dataset, JTD) を提案する．JTDは不法行為判断予測タスク及びその根拠抽出タスク向けに設計されている．根拠抽出タスクは不法行為の成否判断に際して重要な根拠となった主張を，原告または被告の主張の中から抽出するタスクである．JTDには41人の法律専門家によって注釈付けされた3,477件の民事事件判決書に基づいて構築されており，7,978事例（事例に内包される原告・被告らの主張は59,697事例）が収録されている．ベースライン実験によりJTDの各タスクの実現可能性を確認し，さらに不法行為判断予測・根拠抽出の両タスクを同時に学習させることで性能が改善することを示した．"	"山田寛章, 徳永健伸, 小原隆太郎, 得津晶, 竹下啓介, 角田美穂子. 日本語不法行為事件データセットの構築. <i>言語処理学会第30回年次大会発表論文集</i>, pp. 1045-1050, 2024年3月."	anlp2024-5	https://www.anlp.jp/proceedings/annual_meeting/2024/pdf_dir/E4-2.pdf
2024/3/3	 複数文書要約を用いた事実性の検証	研究報告自然言語処理（NL）	"事実性検証の対象となる主張文章の中には複数の文章を情報源として参照し，複数段階の推論を経ることで初めて正しい判定ができる主張文章が存在する．本研究ではこのような主張文章に適した事実性検証の仕組みとして，要約-判定アーキテクチャを提案する．提案手法では，1 段階目に情報源として与えられた複数の文書の中から主張文章を支持する部分を複数文書要約し，2 段階目では生成した要約を用いて主張文章の事実性判定を行う．1 段階目で情報源の文書を短く要約することにより，主張文章の判定で大規模言語モデルの推論能力を有効活用することを狙う．提案手法の性能を HoVerデータセットを用いて評価したところ，従来のアプローチを超える性能を達成した．"	"伊藤悠馬, 山田寛章, 徳永健伸. 複数文書要約を用いた事実性の検証. <i>研究報告自然言語処理（NL）</i>, Volume 2024-NL-259, Issue 17, pp. 1-9, 2024年3月."	nl2024-1	http://id.nii.ac.jp/1001/00232766/
2024/6/11	 不法行為判断予測データセット構築におけるELSI課題	第38回人工知能学会全国大会論文集	"我々は，近時，法律分野へのAI応用研究の一大領域となっている司法判断予測(Legal Judgement Prediction)研究のためのデータセットである，日本語不法行為事件データセット(Japanese Tort-case Dataset, JTD)を構築した．JTDには41人の法律専門家によって注釈付けされた3,477件の民事事件判決書に基づいて構築されており，7,978事例（事例に内包される原告・被告らの主張は59,697件）が収録されている．JTDは判決書という法律分野のデータを扱うことから，司法判断に関わる予測を計算機で行うことの是非，構築したデータセットに潜在するバイアスはもとより，判決データのオープンデータ化が未だ審議中というわが国特有の事情ゆえに，多様な社会的課題を検討しながら構築する必要があった．とりわけ，判決書のような多くのステークホルダーの利害に関係し得るデータを扱うデータセットを他の研究者と共有する環境は未だ十分整備されているとは言い難い．そこで，本稿では，今後の議論の深化に貢献すべく，構築時に検討した諸課題を報告する．"	"山田寛章, 小原隆太郎, 角田美穂子. 不法行為判断予測データセット構築におけるELSI課題, <i>人工知能学会全国大会論文集</i>, Volume JSAI2024, 第38回 (2024), Online ISSN 2758-7347 2024年5月."	jsai2024-1	https://doi.org/10.11517/pjsai.JSAI2024.0_3K1OS2a02
2025/3/14	言語で柔軟に操作可能なWhat-if社会シミュレータ	人工知能学会第二種研究会資料 2025 (BI-026)	社会シミュレーション研究において、一人一人の個性のような異質性を再現し、対話のような複雑な相互作用を再現することは、重要な関心事でありつづけてきたが、実装があまりに高コストであるためその詳細に踏み込まれることは少なかった。しかし、大規模言語モデルが、広汎な状況における対話をパーソナリティで条件付けて再現できることを示したことで、人々の異質性と相互作用を詳細にモデル化できる可能性が出てきた。本発表では、大規模言語モデルを社会シミュレーションに応用する既存研究を整理した上で、その課題が大規模言語モデルの振る舞いを特定の人間や社会状況を再現するよう調整する枠組みの不在にあることを指摘する。以上を踏まえ我々が取り組む、大規模言語モデルをキャリブレーションする方法について論じる。	山田 広明, 山田 寛章, 平岡 達也. 言語で柔軟に操作可能なWhat-if社会シミュレータ. <i>人工知能学会第二種研究会資料</i>, 2025 (BI-026), 2025年3月.	jsai-bi-2025-1	https://doi.org/10.11517/jsaisigtwo.2025.BI-026_11
2025/3/11	Evaluating Robustness of LLMs to Numerical Variations in Mathematical Reasoning	言語処理学会第31回年次大会発表論文集	Evaluating an LLM’s robustness against numerical perturbation is a good way to know if the LLM actually performs reasoning or just replicates patterns learned. We propose a novel method to augment math word problems (MWPs), producing numerical variations at a large scale utilizing templates. We also propose an automated error classification framework for scalable error analysis, distinguishing calculation errors from reasoning errors. Our experiments using the methods show LLMs are weak against numerical variations, suggesting they are not fully capable of generating valid reasoning steps, often failing in arithmetic operations.	Yang Yuli，山田寛章，徳永健伸. Evaluating Robustness of LLMs to Numerical Variations in Mathematical Reasoning. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 851-856，2025年3月.	anlp2025-1	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/Q2-20.pdf
2025/3/11	自動アノテーションを導入したG-Evalによる英文要約課題評価	言語処理学会第31回年次大会発表論文集	英語学習者向け英文要約課題の自動評価のため，大規模言語モデル (LLM) を活用し，要約の内容に基づいた評価を実現する新たな手法を提案する．本研究では，Few-shot 学習，採点基準の自動展開，要約内の重要な概念や表現の自動アノテーションを組み合わせることで，要約内容に関する質の高い評価を可能にした．	藤田晃輔，山田寛章，徳永健伸，石井雄隆，澤木泰代. 自動アノテーションを導入したG-Evalによる英文要約課題評価. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 1056-1061，2025年3月.	anlp2025-2	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/P3-2.pdf
2025/3/11	言語モデルを用いた看護師国家試験問題の誤答選択肢自動生成	言語処理学会第31回年次大会発表論文集	本研究では，看護師国家試験問題における誤答選択肢の自動生成に大規模言語モデルを活用する．生成には日本語大規模言語モデルと，API を通じて利用可能なモデルをそれぞれ複数用い，過去の試験や予備校の模擬試験の問題をデータセットとして出力の制御を行う．生成した誤答選択肢を選択肢候補として看護師国家試験問題作成経験者に提示し，実際の問題作成における負担軽減や効率改善への寄与を分析した．その結果，大規模言語モデルによる誤答選択肢は有用であり，作問作業の効率改善の可能性が示された．	城戸祐世，山田寛章，徳永健伸，木村理加，三浦友理子，佐居由美，林直子. 言語モデルを用いた看護師国家試験問題の誤答選択肢自動生成. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 1074-1079，2025年3月.	anlp2025-3	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/P3-5.pdf
2025/3/11	LoRAを活用した言語モデルの中間層蒸留	言語処理学会第31回年次大会発表論文集	近年，言語モデルの巨大化により，計算コストが大きく増加したため，性能を保ちつつモデルのパラメータ数を削減する手法が求められている．その一つに知識蒸留があり，中間層蒸留はその一種である．モデルの中間層出力も損失関数の計算に用いる中間層蒸留は有効とされてきたが，線形写像を推論時に用いないため，学習の効果が保証されない問題があった．本研究では，中間層蒸留の線形写像を LoRA のアダプターで代替し，推論時に除かれない線形写像を実現した LoRAILD を提案し，実験を行った．その結果，中間層蒸留の効果に対する否定的な結果を得た．	鈴木偉士，山田寛章，徳永健伸. LoRAを活用した言語モデルの中間層蒸留. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 1644-1649，2025年3月.	anlp2025-4	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/Q4-7.pdf
2025/3/13	思考発話を利用した個人の発話及び性格特性再現	言語処理学会第31回年次大会発表論文集	本研究は，思考発話を付与した対話データを用いてファインチューニングを行うことで，個人の発話及び性格特性を再現する手法を提案する．具体的には，LLM を用いて既存の対話データセットに対して対象人物の思考発話を付与する．そして，そのデータを用いてモデルを訓練することで，対象人物の話し方や感情，思考を再現する．著名人・著名キャラクターの再現に焦点を当てた先行研究に比べて，本研究は多様な特性を持つ個人の発話と性格特性を再現できる可能性を示した．	石倉誠也， 山田寛章， 平岡達也， 山田広明， 徳永健伸. 思考発話を利用した個人の発話及び性格特性再現. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 4155-4160，2025年3月.	anlp2025-5	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/P10-20.pdf
2025/3/12	判決書要約文の自動評価	言語処理学会第31回年次大会発表論文集	一般の文書要約で使われている ROUGE などの自動評価指標は判決書自動要約タスクでも使われている．しかし既存の自動評価指標では判決書要約文に不可欠な要素が，要約文に含まれているかを評価することができない．本研究では，判決書要約文に特化した評価ルーブリックを策定し，それに基づいて法律の専門家による人手評価を行う．そして，その評価データを利用して判決書要約文に特化した自動評価器を構築する．構築した評価器をカッパ係数で評価し，自動評価器と正解データとの一致度が人手評価者の間の一致度を部分的に上回ることを示す．	新保彰人，山田寛章，徳永健伸. 判決書要約文の自動評価. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 1974-1979，2025年3月.	anlp2025-6	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/P5-10.pdf